average of 50 times - log in quick mid 
                  heap                   quick                 quick random            quick middle 3          quick mid expect
    n     comp    swap    time     comp    swap    time     comp    swap    time     comp    swap    time     comp    swap    time 
  100      668     581      17      411     411      11      414     482      12      543     431      11      483     437      15 
  200     1632    1357      36      965     965      22      975    1109      25     1212     987      24     1035     933      32 
  500     5092    4043      99     2805    2805      60     2845    3184      66     3422    2856      64     2993    2714      83 
 1000    11681    9086     193     6316    6316     117     6465    7141     129     7323    6190     129     6541    5964     163 
 2000    26351   20157     379    14390   14390     224    14408   15761     239    16055   13798     239    14888   13684     300 
 3000    42100   32071     511    22646   22646     309    22176   24209     327    24617   21216     321    22458   20643     393 
 4000    58700   44311     705    31264   31264     418    31508   34218     448    33943   29419     438    32619   30141     539 
 5000    75661   57098     903    39507   39507     536    40519   43906     574    43612   37962     562    39951   36875     682 
10000   166386  124208    1974    88334   88334    1156    86281   93053    1222    93435   82136    1215    87072   80813    1457 

average of 50 times - quick mid log to function param
                  heap                    quick                 quick random            quick middle 3          quick mid expect
    n     comp    swap    time     comp    swap    time     comp    swap    time     comp    swap    time     comp    swap    time 
  100      668     579      17      418     418      11      407     475      12      546     433      12      403     455      12 
  200     1633    1357      37     1002    1002      24      945    1079      26     1215     987      25      903    1021      25 
  500     5091    4041      98     2931    2931      60     2871    3210      64     3341    2775      63     2649    2956      62 
 1000    11673    9078     198     6504    6504     120     6380    7057     130     7385    6249     124     6094    6739     125 
 2000    26358   20161     385    14078   14078     234    14417   15772     246    15790   13530     246    13552   14870     232 
 3000    42107   32075     520    23057   23057     309    22733   24765     331    25021   21625     322    21156   23152     314 
 4000    58729   44330     713    30883   30883     418    31522   34229     448    34126   29609     439    29370   32041     428 
 5000    75684   57102     910    40305   40305     537    39558   42944     571    43805   38159     562    37761   41097     546 
10000   166398  124217    1983    86696   86696    1153    89100   95876    1235    93468   82153    1211    83200   89929    1174 
20000   362743  268397    4353   189945  189945    2552   187922  201464    2730   200136  177518    2648   178535  192031    2574 

